deltaB 4A2g 4T2g 4T1g 4T1g 2A1g 2Eg 2T1g 2T2g 2A2g
0 0 0 0 15 17.5016077 17.5016077 17.5016077 17.5016077 37.5016077
0.578778135 0 0.578778135 1.03814362 15.6981908 18.0803859 18.0836152 18.093403 18.2907599 38.0803859
1.15755627 0 1.15755627 2.06863023 16.4040386 18.659164 18.5056999 18.5969003 19.0546892 38.659164
1.73633441 0 1.73633441 3.09092819 17.118075 19.2379421 18.8154845 19.0181961 19.7942219 39.2379421
2.31511254 0 2.31511254 4.1044866 17.840851 19.8167203 19.0498446 19.3672144 20.5100965 39.8167203
2.89389068 0 2.89389068 5.10873848 18.5729335 20.3954984 19.2334384 19.6555155 21.2027706 40.3954984
3.47266881 0 3.47266881 6.10310825 19.3148982 20.9742765 19.3820439 19.8944266 21.8722186 40.9742765
4.05144695 0 4.05144695 7.08702036 20.0673205 21.5530547 19.5057835 20.093911 22.5177363 41.5530547
4.63022508 0 4.63022508 8.05990675 20.8307685 22.1318328 19.6112926 20.2621672 23.1377674 42.1318328
5.20900322 0 5.20900322 9.02121436 21.6057953 22.7106109 19.7030461 20.4056785 23.7297921 42.7106109
5.78778135 0 5.78778135 9.97042551 22.3929185 23.2893891 19.7841468 20.5294662 24.2903934 43.2893891
6.36655949 0 6.36655949 10.9070589 23.1926195 23.8681672 19.8568071 20.6373912 24.8156592 43.8681672
6.94533762 0 6.94533762 11.8306913 24.0053215 24.4469453 19.9226452 20.7324212 25.3020429 44.4469453
7.52411576 0 7.52411576 12.7409636 24.8313837 25.0257235 19.9828671 20.816851 25.7475209 45.0257235
8.10289389 0 8.10289389 13.6375981 25.6710836 25.6045016 20.0383966 20.8924684 26.1524695 45.6045016
8.68167203 0 8.68167203 14.5203976 26.5246184 26.1832797 20.0899464 20.9606785 26.5196924 46.1832797
9.26045016 0 9.26045016 15.3892626 27.3920879 26.7620579 20.1380825 21.0226034 26.8535906 46.7620579
