deltaB 5Eg 5T2g 3T1g 3Eg 3T2g 3A2gF 3A1g 1Eg 1T2g 1A2gI 1A1g 1T1g 1A2gF 3A2gP
0 0 0 22.4020101 22.4020101 22.4020101 25.7456131 27.4020101 33.6030151 33.6030151 33.6030151 34.4020101 34.4020101 48.6030151 56.8599146
0.753768861 0 0.753768844 22.361446 22.5393241 23.0098555 25.8799698 27.4020101 33.4793907 33.5451595 33.7478882 34.3992902 34.3580503 49.2119108 57.4793266
1.50753772 0 1.50753769 22.1616055 22.6532814 23.5191457 26.0091382 27.4020101 33.2764146 33.3927123 33.8816922 34.861941 34.8837437 49.8318756 58.1039271
2.26130652 0 2.26130653 21.8450477 22.7484774 23.9263317 26.133358 27.4020101 33.0204585 33.1442776 34.0054083 35.1377952 35.2706897 50.4619284 58.7334761
3.01507545 0 3.01507538 21.4422085 22.8286256 24.2410088 26.252853 27.4020101 32.7237814 32.8115892 34.1199397 35.2946935 35.580843 51.1011658 59.36775
3.76884413 0 3.76884422 20.9757299 22.8966721 24.4813857 26.3678405 27.4020101 32.3927889 32.4125138 34.2261106 35.3655327 35.8446784 51.7487638 60.0065314
4.52261305 0 4.52261307 20.4622161 22.9549296 24.6665 26.4785289 27.4020101 32.0313681 31.9635038 34.3246721 35.3701859 36.0771043 52.4039711 60.6496118
5.27638197 0 5.27638191 19.9135138 23.0052161 24.8117927 26.5851156 27.4020101 31.6422601 31.4769598 34.4163053 35.3224158 36.2860817 53.0661068 61.296794
6.03015089 0 6.03015075 19.3379724 23.0489585 24.9284146 26.6877902 27.4020101 31.2276495 30.9615955 34.5016281 35.2322563 36.4763178 53.7345528 61.9478882
6.78391981 0 6.7839196 18.741495 23.0872889 25.0240741 26.7867299 27.4020101 30.7894384 30.4234812 34.5811947 35.1071495 36.6508781 54.408755 62.6027173
7.53768826 0 7.53768844 18.128309 23.1211018 25.1040729 26.882108 27.4020101 30.3293593 29.8669271 34.6555101 34.9526508 36.8119284 55.0882085 63.261108
8.29145718 0 8.29145729 17.501505 23.1511193 25.1721005 26.9740867 27.4020101 29.8490289 29.2950741 34.7250264 34.7729209 36.9611005 55.7724611 63.9228982
9.0452261 0 9.04522613 16.8633869 23.1779209 25.2307739 27.0628204 27.4020101 29.3499711 28.7102764 34.790152 34.5711068 37.099691 56.4611043 64.5879334
9.79899502 0 9.79899497 16.2157161 23.2019799 25.281995 27.1484573 27.4020101 28.8336168 28.114348 34.851255 34.349603 37.2287663 57.1537701 65.2560653
10.5527639 0 10.5527638 15.5598593 23.2236834 25.3271696 27.2311369 27.4020101 28.3013141 27.5087173 34.9086671 34.1102538 37.3492299 57.8501269 65.9271545
11.3065329 0 11.3065327 14.896902 23.2433518 25.3673656 27.3109912 27.4020101 27.7543191 26.8945302 34.9626897 33.854495 37.4618631 58.5498731 66.6010691
12.0603018 0 12.0603015 14.2277224 23.2612513 25.4034045 27.3881482 27.4020101 27.1938003 26.2727274 35.0135917 33.5834611 37.5673518 59.2527399 67.2776809
12.8140707 0 12.8140704 13.5530364 23.2776055 25.4359322 27.4627261 27.4020101 26.6208392 25.6440879 35.0616206 33.298059 37.6663003 59.9584799 67.9568719
