deltaB 6A1g 4T1gG 4T2gG 4EgG 4A1g 2T2gI 2A2gI 2T1gI 2EgI 2A1gI 4EgD 4A2gF 4T2gD
0 0 32.3981374 32.3981374 32.3981374 32.3981374 46.8370198 46.8370198 46.8370198 46.8370198 46.8370198 39.3981374 53.3573923 39.3981374
0.698486626 0 32.3287544 32.3881467 32.3981374 32.3981374 46.7545471 46.7882423 46.7937508 46.8268814 46.8363152 39.3981361 53.3573914 39.3782363
1.39697325 0 32.1290855 32.3580058 32.3981374 32.3981374 46.5057259 46.644886 46.6659203 46.7962227 46.8341904 39.3981361 53.3573914 39.3193772
2.09545994 0 31.8200264 32.3072107 32.3981374 32.3981374 46.0888748 46.4150314 46.4590416 46.7443085 46.8306274 39.3981361 53.3573914 39.2240035
2.7939465 0 31.4259911 32.2349406 32.3981374 32.3981374 45.508007 46.109787 46.1810646 46.6699181 46.8255806 39.3981361 53.3573914 39.0959441
3.49243307 0 30.9685802 32.1400873 32.3981374 32.3981374 44.7773933 45.7410965 45.8410873 46.5713654 46.8190041 39.3981374 53.3573914 38.9400931
4.19091988 0 30.4644833 32.0213097 32.3981374 32.3981374 43.9202194 45.3201866 45.4482384 46.4465675 46.8108177 39.3981374 53.3573914 38.7620396
4.8894062 0 29.9258213 31.8771048 32.3981374 32.3981374 42.9626389 44.8567772 45.0109673 46.293129 46.80093 39.3981374 53.3573914 38.5677148
5.58789301 0 29.3612022 31.7059162 32.3981374 32.3981374 41.9283943 44.3588982 44.5366898 46.1085167 46.7892303 39.3981374 53.3573914 38.3630512
6.28637934 0 28.7767334 31.5062584 32.3981374 32.3981374 40.8364144 43.8330193 44.0316734 45.8903275 46.7755699 39.3981374 53.3573914 38.1536962
6.98486614 0 28.1767979 31.2768568 32.3981374 32.3981374 39.7008196 43.2842751 43.5011406 45.63657 46.7597885 39.3981374 53.3573914 37.9447672
7.68335295 0 27.5645847 31.0167986 32.3981374 32.3981374 38.5318428 42.7167168 42.9493599 45.3460121 46.7416725 39.3981374 53.3573914 37.7406566
8.38183975 0 26.9424591 30.7256403 32.3981374 32.3981374 37.3368545 42.1335739 42.3798137 45.0183868 46.7209816 39.3981374 53.3573914 37.5449069
9.08032608 0 26.3122005 30.4034854 32.3981374 32.3981374 36.1212014 41.5373981 41.7953411 44.6545105 46.697422 39.3981374 53.3573914 37.360149
9.77881241 0 25.6751785 30.0509919 32.3981374 32.3981374 34.8888114 40.9302445 41.1982526 44.2561798 46.670639 39.3981374 53.3573914 37.1881176
10.4772987 0 25.0324554 29.6693236 32.3981374 32.3981374 33.6426182 40.313766 40.59044 43.8259534 46.6402168 39.3981374 53.3573914 37.0297311
11.175786 0 24.3848763 29.2600582 32.3981374 32.3981374 32.3848533 39.6893097 39.9734563 43.3668382 46.605648 39.3981374 53.3573914 36.8852247
11.8742723 0 23.7331161 28.8250594 32.3981374 32.3981374 31.1172398 39.0579779 39.3485832 42.8820058 46.5663223 39.3981374 53.3573914 36.754305
12.5727587 0 23.0777225 28.3663597 32.3981374 32.3981374 29.8411327 38.4206834 38.7168847 42.3745658 46.5215111 39.3981374 53.3573914 36.6363038
13.271246 0 22.4191513 27.8860431 32.3981374 32.3981374 28.5576123 37.7781851 38.0792491 41.8474098 46.4703255 39.3981374 53.3573914 36.530319
13.9697323 0 21.7577744 27.386163 32.3981374 32.3981374 27.2675553 37.1311199 37.4364214 41.3031385 46.4116974 39.3981374 53.3573914 36.4353318
14.6682186 0 21.0939064 26.8686729 32.3981374 32.3981374 25.971681 36.4800233 36.7890326 40.7440314 46.3443225 39.3981374 53.3573914 36.3502817
15.3667059 0 20.4278145 26.3353912 32.3981374 32.3981374 24.6705891 35.8253539 36.1376147 40.1720594 46.2666414 39.3981374 53.3573914 36.2741374
16.0651913 0 19.7597237 25.7879814 32.3981374 32.3981374 23.36478 35.1675017 35.4826251 39.5889057 46.1767753 39.3981374 53.3573914 36.2059197
16.7636795 0 19.0898323 25.2279441 32.3981374 32.3981374 22.0546845 34.5068009 34.824454 38.9960035 46.0724924 39.3981374 53.3573914 36.1447311
17.4621658 0 18.4183083 24.6566205 32.3981374 32.3981374 20.7406682 33.8435437 34.1634377 38.3945704 45.9511816 39.3981374 53.3573914 36.0897602
18.1606522 0 17.7452965 24.0752049 32.3981374 32.3981374 19.4230489 33.177979 33.4998673 37.7856368 45.8098615 39.3981374 53.3573914 36.0402806
18.8591385 0 17.0709248 23.484752 32.3981374 32.3981374 18.1021048 32.5103295 32.8339977 37.1700827 45.6452549 39.3981374 53.3573914 35.9956519
19.5576248 0 16.3953133 22.8861932 32.3981374 32.3981374 16.7780815 31.840787 32.1660501 36.5486566 45.4539406 39.3981374 53.3573914 35.9553097
20.2561111 0 15.7185553 22.2803516 32.3981374 32.3981374 15.4511932 31.1695215 31.4962165 35.922 45.2326158 39.3981374 53.3573914 35.9187579
20.9545975 0 15.0407439 21.6679523 32.3981374 32.3981374 14.1216333 30.4966822 30.8246705 35.2906624 44.9784412 39.3981374 53.3573914 35.8855646
21.6530857 0 14.3619569 21.0496321 32.3981374 32.3981374 12.7895739 29.8224016 30.1515623 34.6551199 44.6894203 39.3981374 53.3573914 35.8553527
22.351572 0 13.6822666 20.4259569 32.3981374 32.3981374 11.4551723 29.1467998 29.4770233 34.0157835 44.3646834 39.3981374 53.3573914 35.8277893
23.0500584 0 13.0017357 19.7974249 32.3981374 32.3981374 10.1185681 28.4699814 28.8011758 33.3730128 44.0046182 39.3981374 53.3573914 35.8025867
23.7485447 0 12.3204249 19.1644796 32.3981374 32.3981374 8.77988824 27.7920419 28.1241234 32.7271199 43.6107672 39.3981374 53.3573914 35.7794924
24.447031 0 11.6383842 18.5275134 32.3981374 32.3981374 7.43925029 27.1130664 27.4459627 32.0783795 43.1855495 39.3981374 53.3573914 35.7582852
25.1455173 0 10.9556624 17.8868743 32.3981374 32.3981374 6.09676135 26.4331304 26.7667788 31.4270349 42.7319127 39.3981374 53.3573914 35.7387695
25.8440056 0 10.2723027 17.2428754 32.3981374 32.3981374 4.75251921 25.7523038 26.0866473 30.7733003 42.2529919 39.3981374 53.3573914 35.7207753
26.5424919 0 9.58834459 16.5957939 32.3981374 32.3981374 3.4066135 25.0706508 25.4056391 30.1173655 41.7518626 39.3981374 53.3573914 35.7041513
27.2409782 0 8.90382421 15.9458801 32.3981374 32.3981374 2.05912806 24.3882258 24.7238149 29.4594028 41.2313714 39.3981374 53.3573914 35.6887648
27.9394646 0 8.21877416 15.2933574 32.3981374 32.3981374 0.710142026 23.7050827 24.0412328 28.7995611 40.6940629 39.3981374 53.3573914 35.6744983
28.6379509 0.640274738 8.17350175 15.278702 33.0384121 33.0384121 0 23.6615425 23.9982189 28.7782549 40.7824319 40.0384121 53.9976671 36.3015227
29.3364372 1.99205588 8.83926426 15.973326 34.3901932 34.3901932 0 24.3288801 24.6660512 29.4668347 41.5696147 41.3901932 55.3494482 37.6409744
30.0349236 3.3451362 9.50588359 16.6671898 35.7432736 35.7432736 0 24.9969302 25.3345669 30.1552095 42.3470326 42.7432736 56.7025285 38.9825669
30.7334118 4.699461 10.173326 17.360383 37.0975984 37.0975984 0 25.6656694 26.0037485 30.8434203 43.1160047 44.0975984 58.0568533 40.3261688
31.4318981 6.05497206 10.8415576 18.0529849 38.4531094 38.4531094 0 26.3350792 26.6735763 31.5315052 43.8776449 45.4531094 59.4123644 41.6716589
32.1303825 7.41162165 11.5105495 18.7450698 39.809759 39.809759 0 27.0051374 27.3440326 32.2194948 44.6328941 46.809759 60.769014 43.0189267
32.8288727 8.76935972 12.1802736 19.4366997 41.1674971 41.1674971 0 27.6758242 28.0151001 32.9074179 45.3825483 48.1674971 62.126752 44.3678719
33.527359 10.1281409 12.8507008 20.1279325 42.5262782 42.5262782 0 28.3471211 28.6867602 33.5952992 46.1272829 49.5262782 63.4855332 45.7184016
34.2258453 11.4879232 13.5218056 20.8188184 43.8860605 43.8860605 0 29.0190105 29.3589977 34.2831607 46.867674 50.8860605 64.8453155 47.0704307
34.9243317 12.8486671 14.1935634 21.5094028 45.2468044 45.2468044 0 29.6914726 30.0317963 34.9710198 47.6042154 52.2468044 66.2060594 48.4238778
35.622818 14.2103341 14.8659523 22.1997264 46.6084715 46.6084715 0 30.3644936 30.7051397 35.6588929 48.3373306 53.6084715 67.5677264 49.7786717
36.3213043 15.5728882 15.5389488 22.8898265 47.9710256 47.9710256 0 31.0380536 31.3790116 36.3467939 49.0673865 54.9710256 68.9302806 51.1347439
37.0197906 16.9362969 16.212532 23.5797346 49.3344342 49.3344342 0 31.7121397 32.0533981 37.0347357 49.7947008 56.3344342 70.2936892 52.4920326
37.718277 18.3005262 16.8866834 24.2694796 50.6986636 50.6986636 0 32.3867346 32.7282852 37.7227299 50.5195506 57.6986636 71.6579185 53.8504785
38.4167633 19.665546 17.5613807 24.9590896 52.0636834 52.0636834 0 33.0618254 33.4036589 38.4107835 51.2421769 59.0636834 73.0229383 55.2100256
39.1152496 21.0313271 18.2366077 25.6485867 53.4294645 53.4294645 0 33.7373958 34.0795041 39.0989057 51.9627939 60.4294645 74.3887194 56.5706263
