deltaB 5T2g 5Eg 3T1g 3T2g 3Eg 3A2gP 3A1g 1A1g 1T1g 1T2g 1A2gI 1Eg 1A2gF 3A2gF
0 0 0 21.6814815 21.6814815 21.6814815 24.9254324 26.6814815 32.5222222 32.5222222 32.5222222 32.5222222 32.5222222 47.5222222 55.6986417
0.555555556 0 0.555555556 21.5762972 21.7325009 22.1177028 25.3755306 27.237037 32.1730824 32.3468889 32.5227333 32.9633 33.0833481 47.6367 55.8040991
1.11111111 0 1.11111111 21.3996 21.7414741 22.5358056 25.8224731 27.7925926 31.5810843 32.0529565 32.5059991 33.3973435 33.5271287 47.758212 55.912712
1.66666667 0 1.66666667 21.1557648 21.713712 22.9332194 26.2661528 28.3481481 30.8420287 31.6848926 32.4785917 33.8238815 33.83185 47.8872296 56.024588
2.22222222 0 2.22222222 20.8538407 21.6532685 23.3074352 26.7064593 28.9037037 30.0193213 31.2726287 32.4433722 34.2424287 34.0225083 48.024238 56.139837
2.77777778 0 2.77777778 20.5055102 21.5630481 23.6562398 27.1432796 29.4592593 29.145362 30.832987 32.4016315 34.6524861 34.1425185 48.1697361 56.2585722
3.33333333 0 3.33333333 20.1219037 21.4451111 23.9779704 27.5764981 30.0148148 28.2370648 30.3752759 32.3539 35.0535454 34.2227241 48.3242324 56.3809093
3.88888889 0 3.88888889 19.7119639 21.3009981 24.271737 28.0059972 30.5703704 27.3040426 29.9048676 32.3002981 35.4450972 34.2799731 48.4882361 56.5069657
4.44444444 0 4.44444444 19.2822907 21.1319907 24.5375426 28.4316565 31.1259259 26.3522315 29.4250407 32.2406917 35.8266352 34.3231472 48.6622537 56.636862
5 0 5 18.8375926 20.939288 24.7762639 28.8533546 31.6814815 25.3855602 28.9379074 32.1747759 36.1976667 34.3571333 48.8467778 56.7707194
5.55555556 0 5.55555556 18.3812083 20.7241093 24.9895009 29.2709667 32.237037 24.4067704 28.4448991 32.1021148 36.5577204 34.3847815 49.0422796 56.908663
6.11111111 0 6.11111111 17.9155287 20.4877343 25.1793472 29.6843685 32.7925926 23.417863 27.9470296 32.0221685 36.9063583 34.4078546 49.2491972 57.0508167
6.66666667 0 6.66666667 17.4422935 20.2314981 25.3481481 30.0934333 33.3481481 22.4203491 27.4450454 31.9343093 37.2431824 34.4274981 49.4679287 57.1973074
7.22222222 0 7.22222222 16.9627917 19.9567602 25.4982944 30.4980333 33.9037037 21.4154009 26.939513 31.8378315 37.5678472 34.4444917 49.6988194 57.348263
7.77777778 0 7.77777778 16.4779991 19.6648741 25.6320741 30.8980417 34.4592593 20.4039528 26.4308759 31.7319676 37.8800704 34.4593852 49.9421519 57.5038102
8.33333333 0 8.33333333 15.9886694 19.3571491 25.751588 31.2933296 35.0148148 19.3867593 25.9194898 31.6159019 38.179637 34.4725796 50.1981407 57.6640778
8.88888889 0 8.88888889 15.4953935 19.0348287 25.8587056 31.6837713 35.5703704 18.3644444 25.4056454 31.4887889 38.4664093 34.4843731 50.4669241 57.8291917
9.44444444 0 9.44444444 14.9986454 18.6990769 25.955063 32.0692398 36.1259259 17.3375296 24.8895824 31.3497759 38.7403306 34.4949954 50.7485583 57.9992787
