deltaB 4T1g 4T2g 4A2g 4T1g 2T2g 2Eg 2T1g 2A1g 2A2g
0 0 0 0 15 17.89 17.89 17.89 17.89 37.8894523
0.60851927 0 0.490670385 1.09918966 15.3728215 18.1311187 18.1586237 18.2705892 18.3801227 38.3801227
1.21703854 0 0.988682556 2.2057211 15.7603256 18.3512769 18.2021704 18.5668448 18.8781349 38.8781349
1.82555781 0 1.4935071 3.31906491 16.1614574 18.5493905 18.0557028 18.7890365 19.3829594 39.3829594
2.43407708 0 2.00465112 4.43872819 16.5752262 18.7255365 17.7728114 18.9504939 19.8941034 39.8941034
3.04259635 0 2.52165314 5.56424949 17.0007099 18.8803986 17.3989412 19.0644189 20.4111055 40.4111055
3.65111562 0 3.04408316 6.69519878 17.4370507 19.0151805 16.9651521 19.142288 20.9335355 40.9335355
4.25963489 0 3.57154462 7.83117951 17.8834533 19.1314635 16.4912099 19.1933043 21.460997 41.460997
4.86815416 0 4.10366937 8.97182353 18.3391846 19.2310538 15.9895872 19.2245101 21.9931217 41.9931217
5.47667343 0 4.64011968 10.1167931 18.8035659 19.3158357 15.4683012 19.2411572 22.529572 42.529572
6.0851927 0 5.18058114 11.2657738 19.2759706 19.3876572 14.932644 19.2471187 23.0700335 43.0700335
6.69371197 0 5.72476775 12.4184797 19.7558245 19.4482576 14.3862079 19.2452424 23.6142201 43.6142201
7.30223124 0 6.27241379 13.574645 20.2425974 19.499214 13.8314959 19.2376247 24.1618661 44.1618661
7.91075051 0 6.82327586 14.7340264 20.7358022 19.541932 13.2703002 19.2258185 24.7127282 44.7127282
8.51926978 0 7.37712982 15.8963996 21.2349899 19.5776349 12.703929 19.2109777 25.2665822 45.2665822
9.12778905 0 7.93376978 17.0615588 21.7397505 19.6073803 12.133357 19.1939696 25.8232221 45.8232221
9.73630832 0 8.49300507 18.2293134 22.2497018 19.632072 11.5593256 19.1754422 26.3824574 46.3824574
10.3448276 0 9.05466227 19.3994899 22.764498 19.6524777 10.9824057 19.1558895 26.9441146 46.9441146
10.9533469 0 9.61858114 20.571928 23.2838154 19.6692495 10.4030456 19.1356836 27.5080335 47.5080335
11.5618661 0 10.1846126 21.7464787 23.807359 19.6829371 9.82159736 19.1151085 28.0740649 48.0740649
12.1703854 0 10.7526207 22.9230061 24.334856 19.6940061 9.23834888 19.0943793 28.642073 48.642073
12.7789047 0 11.3224797 24.1013844 24.8660548 19.7028499 8.6535284 19.0736623 29.211932 49.211932
13.3874239 0 11.894074 25.281498 25.4007231 19.7098012 8.06732759 19.0530811 29.7835264 49.7835264
13.9959432 0 12.4672951 26.4632383 25.9386471 19.71514 7.47990365 19.0327292 30.3567475 50.3567475
