deltaB 3A2gF 3T2gF 3T1gF 1EgD 1T2gD 3T1gP 1A1gG 1T1gG 1EgG 1T2gG 1A1gS
0 0 0 0 14.4203455 14.4203455 15 21.4203455 21.4203455 21.4203455 21.4203455 54.9712092
0.575815739 0 0.575815739 1.03284933 14.8688512 15.2314923 15.6945979 21.8715787 21.9961612 22.1234712 22.3366459 55.6716075
1.15163148 0 1.15163148 2.05812188 15.2342841 16.0204827 16.3967726 22.3042572 22.571977 22.9096699 23.2751027 56.3905605
1.72744722 0 1.72744722 3.07529559 15.529356 16.7886488 17.1070461 22.7188455 23.1477927 23.7662294 24.2343839 57.1276036
2.30326296 0 2.30326296 4.0838263 15.7673455 17.537547 17.8259626 23.1158464 23.7236084 24.6798714 25.2129328 57.8822342
2.87907869 0 2.87907869 5.08315835 15.9601919 18.2688484 18.5540777 23.4957965 24.2994242 25.6386564 26.2090787 58.6539155
3.45489443 0 3.45489443 6.07272361 16.1177514 18.9842505 19.2919597 23.8592591 24.8752399 26.6327284 27.2211238 59.4420845
4.03071017 0 4.03071017 7.05195585 16.2477812 19.685405 20.0401747 24.2068177 25.4510557 27.6543301 28.2474165 60.2461574
4.60652591 0 4.60652591 8.02029367 16.3562466 20.3738714 20.7992841 24.5390672 26.0268714 28.6974962 29.2863973 61.0655393
5.18234165 0 5.18234165 8.97719386 16.4476881 21.0510854 21.5698311 24.8566132 26.6026871 29.7576862 30.3366305 61.8996248
5.75815739 0 5.75815739 9.92214299 16.5255643 21.7183493 22.3523292 25.1600605 27.1785029 30.8314415 31.3968138 62.747809
6.33397313 0 6.33397313 10.854666 16.5925182 22.3768244 23.1472534 25.4500134 27.7543186 31.916119 32.465786 63.6094875
6.90978887 0 6.90978887 11.7743426 16.6505883 23.0275403 23.955024 25.7270681 28.3301344 33.0096804 33.5425173 64.4840643
7.48560461 0 7.48560461 12.6808167 16.7013608 23.6714021 24.7759971 25.9918138 28.9059501 34.1105393 34.6261027 65.3709501
8.06142035 0 8.06142035 13.5738061 16.7460787 24.3092015 25.6104549 26.2448234 29.4817658 35.217453 35.7157505 66.269572
8.63723608 0 8.63723608 14.4531132 16.7857303 24.9416334 26.458595 26.4866545 30.0575816 36.3294328 36.8107658 67.1793724
9.21305182 0 9.21305182 15.3186324 16.8211046 25.5692985 27.320523 26.7178503 30.6333973 37.44569 37.910548 68.0998081
9.78886756 0 9.78886756 16.1703503 16.8528417 26.1927255 28.1962524 26.9389319 31.2092131 38.5655845 39.0145681 69.030358
10.3646833 0 10.3646833 17.0083503 16.8814616 26.8123714 29.0856996 27.1504021 31.7850288 39.688596 40.1223695 69.9705192
10.940499 0 10.940499 17.8328061 16.9073925 27.4286392 29.988691 27.3527447 32.3608445 40.8142965 41.2335489 70.9198081
11.5163148 0 11.5163148 18.6439779 16.9309885 28.0418791 30.9049664 27.5464184 32.9366603 41.9423321 42.3477562 71.8777658
12.0921305 0 12.0921305 19.4422035 16.952547 28.6523973 31.8341881 27.7318666 33.512476 43.072405 43.4646852 72.8439491
12.6679463 0 12.6679463 20.2278887 16.9723157 29.2604645 32.7759501 27.9095067 34.0882917 44.2042678 44.5840653 73.8179405
13.243762 0 13.243762 21.0014952 16.9905058 29.8663177 33.7297908 28.079739 34.6641075 45.3377092 45.7056593 74.7993397
13.8195777 0 13.8195777 21.7635269 17.0072956 30.470166 34.6952063 28.2429424 35.2399232 46.4725509 46.8292582 75.7877678
14.3953935 0 14.3953935 22.5145211 17.0228407 31.0721958 35.6716593 28.399477 35.815739 47.6086372 47.9546756 76.7828647
14.9712092 0 14.9712092 23.2550355 17.0372706 31.6725701 36.6585921 28.5496833 36.3915547 48.7458388 49.0817486 77.7842898
15.547025 0 15.547025 23.9856353 17.0507015 32.2714347 37.6554395 28.6938839 36.9673704 49.8840393 50.2103311 78.7917207
16.1228407 0 16.1228407 24.7068896 17.0632322 32.8689194 38.6616324 28.8323839 37.5431862 51.0231401 51.3402937 79.8048522
16.6986564 0 16.6986564 25.419357 17.0749491 33.4651411 39.6766123 28.9654712 38.1190019 52.1630547 52.4715192 80.8233964
17.2744722 0 17.2744722 26.1235864 17.085929 34.0602025 40.6998301 29.0934184 38.6948177 53.3037063 53.603905 81.8470806
17.8502879 0 17.8502879 26.8201046 17.096237 34.6541967 41.7307591 29.2164846 39.2706334 54.4450298 54.737358 82.8756459
18.4261036 0 18.4261036 27.5094203 17.1059347 35.2472083 42.7688906 29.3349107 39.8464491 55.5869635 55.8717937 83.9088512
19.0019194 0 19.0019194 28.1920154 17.1150729 35.8393129 43.8137428 29.4489271 40.4222649 56.7294568 57.0071363 84.9464664
19.5777351 0 19.5777351 28.8683455 17.1236987 36.4305768 44.8648599 29.5587505 40.9980806 57.8724626 58.1433196 85.9882745
20.1535509 0 20.1535509 29.5388417 17.1318532 37.0210633 45.9218109 29.6645845 41.5738964 59.0159395 59.2802802 87.034072
20.7293666 0 20.7293666 30.203906 17.1395749 37.6108282 46.9841939 29.7666219 42.1497121 60.1598493 60.4179626 88.083666
21.3051823 0 21.3051823 30.8639165 17.1468964 38.1999223 48.0516305 29.8650461 42.7255278 61.3041593 61.5563157 89.1368733
21.8809981 0 21.8809981 31.5192226 17.1538474 38.7883906 49.1237716 29.9600278 43.3013436 62.4488397 62.6952946 90.193523
22.4568138 0 22.4568138 32.1701526 17.1604559 39.3762764 50.2002889 30.0517303 43.8771593 63.5938628 63.834856 91.253452
23.0326296 0 23.0326296 32.8170067 17.1667466 39.963618 51.280882 30.1403052 44.452975 64.7392035 64.9749616 92.3165086
23.6084453 0 23.6084453 33.4600672 17.1727418 40.5504511 52.3652687 30.2258983 45.0287908 65.8848397 66.1155758 93.382547
24.184261 0 24.184261 34.0995921 17.1784607 41.1368081 53.453191 30.3086468 45.6046065 67.0307524 67.256666 94.4514299
24.7600768 0 24.7600768 34.7358225 17.1839232 41.7227179 54.5444079 30.3886785 46.1804223 68.1769213 68.3982035 95.5230298
25.3358925 0 25.3358925 35.3689808 17.1891449 42.3082083 55.6386967 30.4661171 46.756238 69.3233311 69.5401603 96.5972226
25.9117083 0 25.9117083 35.9992706 17.194142 42.8933042 56.7358541 30.5410768 47.3320537 70.4699655 70.6825115 97.6738944
26.487524 0 26.487524 36.6268829 17.198929 43.4780298 57.8356891 30.6136679 47.9078695 71.61681 71.8252332 98.7529347
27.0633397 0 27.0633397 37.2519904 17.2035182 44.062405 58.9380288 30.6839933 48.4836852 72.7638522 72.9683052 99.8342409
27.6391555 0 27.6391555 37.8747572 17.2079213 44.6464511 60.0427092 30.7521516 49.059501 73.9110806 74.1117063 100.917714
28.2149712 0 28.2149712 38.4953311 17.2121497 45.2301862 61.1495825 30.8182351 49.6353167 75.0584837 75.2554184 102.003262
28.7907869 0 28.7907869 39.1138512 17.216214 45.8136276 62.2585096 30.8823311 50.2111324 76.2060509 76.3994242 103.090798
29.3666027 0 29.3666027 39.7304443 17.2201238 46.3967898 63.3693637 30.944523 50.7869482 77.3537726 77.5437092 104.180237
29.9424184 0 29.9424184 40.3452303 17.2238858 46.9796891 64.482025 31.0048906 51.3627639 78.501642 78.6882572 105.271501
30.5182342 0 30.5182342 40.9583167 17.2275106 47.5623388 65.5963858 31.0635086 51.9385797 79.6496488 79.8330547 106.364514
31.0940499 0 31.0940499 41.5698081 17.2310038 48.1447514 66.7123417 31.1204482 52.5143954 80.7977869 80.9780893 107.459206
31.6698656 0 31.6698656 42.1797956 17.2343733 48.7269395 67.8298013 31.1757764 53.0902111 81.9460489 82.1233484 108.55551
32.2456814 0 32.2456814 42.7883685 17.2376248 49.3089136 68.9486756 31.2295576 53.6660269 83.094429 83.2688215 109.65336
32.8214971 0 32.8214971 43.3956065 17.2407658 49.8906843 70.0688848 31.2818532 54.2418426 84.2429194 84.4144981 110.752696
33.3973129 0 33.3973129 44.0015873 17.2438004 50.472262 71.1903512 31.3327207 54.8176583 85.3915163 85.5603676 111.85346
33.9731286 0 33.9731286 44.60638 17.2467342 51.0536555 72.3130058 31.382215 55.3934741 86.540214 86.7064213 112.955597
34.5489443 0 34.5489443 45.2100489 17.249572 51.6348733 73.4367841 31.4303896 55.9692898 87.6890077 87.8526507 114.059054
35.1247601 0 35.1247601 45.8126564 17.2523196 52.2159232 74.5616238 31.4772927 56.5451056 88.8378916 88.999048 115.163782
35.7005758 0 35.7005758 46.4142591 17.2549798 52.7968129 75.6874683 31.5229741 57.1209213 89.9868628 90.1456056 116.269732
36.2763916 0 36.2763916 47.0149098 17.2575576 53.3775509 76.8142649 31.567477 57.696737 91.1359165 91.2923148 117.376861
36.8522073 0 36.8522073 47.6146583 17.2600566 53.958142 77.9419635 31.6108464 58.2725528 92.2850489 92.4391708 118.485123
37.428023 0 37.428023 48.2135509 17.2624798 54.5385931 79.0705182 31.6531228 58.8483685 93.4342572 93.586167 119.594478
38.0038388 0 38.0038388 48.8116296 17.2648311 55.1189117 80.1998868 31.6943445 59.4241843 94.5835374 94.7332956 120.704888
38.5796545 0 38.5796545 49.4089367 17.2671132 55.6991017 81.3300269 31.7345509 60 95.7328868 95.8805528 121.816313
39.1554702 0 39.1554702 50.0055096 17.2693301 56.2791689 82.4609012 31.7737754 60.5758157 96.8823013 97.0279328 122.92872
39.731286 0 39.731286 50.6013848 17.2714837 56.859118 83.5924731 31.8120547 61.1516315 98.0317793 98.1754309 124.042072
40.3071017 0 40.3071017 51.196594 17.2735758 57.4389549 84.7247111 31.8494203 61.7274472 99.1813186 99.3230413 125.156338
40.8829175 0 40.8829175 51.7911699 17.2756113 58.0186833 85.8575825 31.885904 62.303263 100.330915 100.47076 126.271486
41.4587332 0 41.4587332 52.385142 17.2775902 58.5983081 86.9910576 31.9215355 62.8790787 101.480567 101.618583 127.387486
42.0345489 0 42.0345489 52.9785384 17.2795173 59.1778321 88.1251084 31.9563426 63.4548944 102.630272 102.766506 128.50431
42.6103647 0 42.6103647 53.5713839 17.2813916 59.757261 89.2597102 31.9903532 64.0307102 103.780029 103.914524 129.621931
43.1861804 0 43.1861804 54.1637044 17.2832179 60.3365969 90.3948369 32.023594 64.6065259 104.929834 105.062635 130.740321
43.7619962 0 43.7619962 54.755523 17.2849962 60.9158436 91.5304655 32.0560902 65.1823417 106.079687 106.210836 131.859457
44.3378119 0 44.3378119 55.3468618 17.2867294 61.4950048 92.6665739 32.0878656 65.7581574 107.229585 107.359122 132.979313
44.9136276 0 44.9136276 55.9377409 17.2884184 62.0740835 93.803142 32.1189424 66.3339731 108.379528 108.50749 134.099868
45.4894434 0 45.4894434 56.5281795 17.2900653 62.6530835 94.9401507 32.1493436 66.9097889 109.529512 109.655938 135.221098
46.0652591 0 46.0652591 57.1181977 17.2916718 63.2320058 96.0775797 32.1790912 67.4856046 110.679537 110.804463 136.342982
