delta/B 4A2g 4T2g 4T1g 4T1g 2A1g 2Eg 2T1g 2T2g 2T1g 2T2g 2Eg 2T1g 2T1g 2T2g 2Eg 2A2g 2T2g 2T1g 2Eg 2T2g
0 0 0 0 15 17.5016077 17.5016077 17.5016077 17.5016077 22.5016077 22.5016077 22.5016077 22.5016077 22.5016077 24.8951929 24.8951929 37.5016077 37.5016077 37.5016077 60.1101661 60.1101661
0.578778135 0 0.578778135 1.03814362 15.6981908 18.0803859 18.0836152 18.093403 18.2907599 22.8399421 23.087343 23.3420686 23.3549914 23.4294244 25.5936881 25.7045606 38.0803859 38.1723998 38.2629464 60.7722197 60.8386602
1.15755627 0 1.15755627 2.06863023 16.4040386 18.659164 18.5056999 18.5969003 19.0546892 23.2161897 23.6121994 24.1877556 24.2287578 24.3696367 26.3676592 26.6606152 38.659164 38.8346527 39.0418917 61.4422862 61.5863183
1.73633441 0 1.73633441 3.09092819 17.118075 19.2379421 18.8154845 19.0181961 19.7942219 23.629716 24.0860118 24.9796077 25.1049839 25.3350761 27.2063633 27.7742958 39.2379421 39.4889657 39.8380729 62.1208585 62.352627
2.31511254 0 2.31511254 4.1044866 17.840851 19.8167203 19.0498446 19.3672144 20.5100965 24.077135 24.5216559 25.7059507 25.9725155 26.3307395 28.0960697 29.0198617 39.8167203 40.1360139 40.6511104 62.8084791 63.1370204
2.89389068 0 2.89389068 5.10873848 18.5729335 20.3954984 19.2334384 19.6555155 21.2027706 24.5533644 24.9308135 26.3818478 26.8277128 27.3541854 29.0245048 30.3569989 40.3954984 40.7765413 41.4806045 63.5057417 63.938896
3.47266881 0 3.47266881 6.10310825 19.3148982 20.9742765 19.3820439 19.8944266 21.8722186 25.0528457 25.3229089 27.0247063 27.6699711 28.4006752 29.9820954 31.7518714 40.9742765 41.4113569 42.326134 64.2132969 64.7576152
4.05144695 0 4.05144695 7.08702036 20.0673205 21.5530547 19.5057835 20.093911 22.5177363 25.5704416 25.7056045 27.6467685 28.4994416 29.4656785 30.9616645 33.1814084 41.5530547 42.0413408 43.1872476 64.9318489 65.5925177
4.63022508 0 4.63022508 8.05990675 20.8307685 22.1318328 19.6112926 20.2621672 23.1377674 26.1018596 26.0856088 28.2556163 29.3164373 30.5454566 31.9577899 34.6306227 42.1318328 42.6674362 44.0634684 65.6621683 66.4429303
5.20900322 0 5.20900322 9.02121436 21.6057953 22.7106109 19.7030461 20.4056785 23.7297921 26.6437245 26.4693194 28.8558467 30.1213076 31.6370589 32.9662594 36.089612 42.7106109 43.2906624 44.9542894 66.4050857 67.3081683
5.78778135 0 5.78778135 9.97042551 22.3929185 23.2893891 19.7841468 20.5294662 24.2903934 27.1934737 26.8631436 29.4502915 30.9144277 32.7381811 33.9836677 37.5515456 43.2893891 43.9121168 45.8591779 67.1614973 68.1875498
6.36655949 0 6.36655949 10.9070589 23.1926195 23.8681672 19.8568071 20.6373912 24.8156592 27.7491929 27.2733494 30.0407417 31.6961972 33.8470343 35.0071458 39.0114566 43.8681672 44.5329893 46.7775798 67.9323666 69.0803966
6.94533762 0 6.94533762 11.8306913 24.0053215 24.4469453 19.9226452 20.7324212 25.3020429 28.3094641 27.7053816 30.6283623 32.4670364 34.9622165 36.0341629 40.4655338 44.4469453 45.1545798 47.708925 68.7187213 69.9860418
7.52411576 0 7.52411576 12.7409636 24.8313837 25.0257235 19.9828671 20.816851 25.7475209 28.8732379 28.1628199 31.2139346 33.2273859 36.0826302 37.0623837 41.9106988 45.0257235 45.7783173 48.6526281 69.5216517 70.9038339
8.10289389 0 8.10289389 13.6375981 25.6710836 25.6045016 20.0383966 20.8924684 26.1524695 29.439731 28.6465874 31.7979968 33.977701 37.2074009 38.0895584 43.3443462 45.6045016 46.4057899 49.6081008 70.3423044 71.8331404
8.68167203 0 8.68167203 14.5203976 26.5246184 26.1832797 20.0899464 20.9606785 26.5196924 30.0083569 29.1549786 32.3809228 34.718448 38.3358339 39.1134234 44.7641854 46.1832797 47.0387728 50.5747524 71.18188 72.7733473
9.26045016 0 9.26045016 15.3892626 27.3920879 26.7620579 20.1380825 21.0226034 26.8535906 30.578672 29.6845348 32.9629839 35.4500986 39.4673687 40.1316292 46.1681447 46.7620579 47.6792605 51.5519968 72.0416131 73.7238682
9.8392283 0 9.8392283 16.2441876 28.2734973 27.340836 20.1832572 21.0791404 27.1590729 31.1503376 30.2311661 33.5443773 36.1731243 40.6015488 41.1416763 47.554313 47.340836 48.3295005 52.5392562 72.9227685 74.6841372
10.4180064 0 10.4180064 17.0852647 29.1687546 27.9196141 20.225836 21.1310225 27.4407374 31.7230932 30.7909893 34.1252487 36.8879925 41.738 42.1408607 48.9209078 47.9196141 48.9920161 53.53597 73.8266141 75.6536163
10.9967846 0 10.9967846 17.9126785 30.0776752 28.4983923 20.2661211 21.1788478 27.7024973 32.2967353 31.360731 34.7057085 37.5951597 42.8764159 43.1262594 50.2662637 48.4983923 49.6696088 54.5415884 74.7544051 76.6317942
11.5755627 0 11.5755627 18.726702 30.9999861 29.0771704 20.3043623 21.2231136 27.9475027 32.871104 31.9378071 35.2858403 38.2950718 44.0165402 44.0947471 51.5888328 49.0771704 50.3653194 55.5555852 75.7073537 77.6181833
12.1543408 0 12.1543408 19.5276849 31.9353376 29.6559486 20.3407685 21.2642347 28.1782326 33.446075 32.5202529 35.8657074 38.9881597 45.1581576 45.043075 52.8871972 49.6559486 51.0823441 56.5774555 76.6866045 78.6123226
12.733119 0 12.733119 20.316045 32.8833119 30.2347267 20.3755198 21.3025627 28.3966195 34.0215477 33.1066002 36.4453623 39.6748371 46.301089 45.9680311 54.1600857 50.2347267 51.8238671 57.606717 77.6932015 79.6137781
13.3118971 0 13.3118971 21.0922583 33.843433 30.8135048 20.4087653 21.3383923 28.6041779 34.5974394 33.6957631 37.0248435 40.3554995 47.4451801 46.8666624 55.4063934 50.8135048 52.5928232 58.64291 78.7280568 80.6221383
13.8906752 0 13.8906752 21.8568403 34.8151854 31.392283 20.4406377 21.3719807 28.802104 35.173686 34.2869357 37.6041822 41.030523 48.5903012 47.7365756 56.6252069 51.392283 53.3916034 59.6856002 79.7919239 81.637015
14.4694534 0 14.4694534 22.6103398 35.7980204 31.9710611 20.4712497 21.4035456 28.9913548 35.7502337 34.8795252 38.1834041 41.7002637 49.7363387 48.5762069 57.8158199 51.9710611 54.2217706 60.7343783 80.8853676 82.6580461
15.0482315 0 15.0482315 23.3533237 36.7913708 32.5498392 20.5006988 21.4332765 29.1727106 36.3270375 35.4730868 38.7625295 42.3650568 50.8831983 49.3850322 58.9777588 52.5498392 55.0838542 61.7888585 82.0087449 83.6848875
15.6270096 0 15.6270096 24.0863687 37.7946602 33.1286174 20.5290729 21.4613398 29.3468167 36.9040622 36.0672905 39.3415745 43.0252208 52.0307942 50.1636195 60.1107835 53.1286174 55.9772958 62.8486795 83.1621908 84.7172176
16.2057878 0 16.2057878 24.8100504 38.807313 33.7073955 20.556448 21.4878821 29.5142133 37.4812776 36.6618896 39.9205531 43.6810504 53.1790547 50.913507 61.2148971 53.7073955 56.9005648 63.9135016 84.3456141 85.7547342
16.7845659 0 16.7845659 25.5249357 39.8287621 34.2861736 20.5828928 21.5130289 29.6753644 38.058657 37.2566988 40.4994759 44.3328242 54.3279164 51.6369668 62.2903376 54.2861736 57.8513944 64.9830086 85.5586977 86.7971543
17.3633441 0 17.3633441 26.2315777 40.8584544 34.8649518 20.6084684 21.536895 29.8306688 38.636179 37.8515777 41.0783516 44.9808039 55.4773226 52.336702 63.3375648 54.8649518 58.8270879 66.0569025 86.8009089 87.8442101
17.9421222 0 17.9421222 26.9305113 41.8958553 35.4437299 20.6332283 21.5595809 29.9804759 39.2138264 38.4464223 41.6571886 45.6252304 56.6272251 53.0155702 64.3572444 55.4437299 59.8247931 67.1349089 88.071523 88.8956538
18.5209003 0 18.5209003 27.6222454 42.9404555 36.022508 20.6572229 21.5811768 30.1250986 39.7915841 39.0411543 42.2359925 46.2663312 57.7775788 53.6763666 65.3502165 56.022508 60.8417149 68.2167696 89.3696442 89.9512497
19.0996785 0 19.0996785 28.307268 43.9917674 36.6012862 20.6804952 21.6017631 30.2648135 40.3694384 39.6357149 42.8147696 46.9043173 58.9283473 54.3216838 66.3174695 56.6012862 61.8752615 69.3022433 90.6942337 91.0107781
19.6784566 0 19.6784566 28.9860375 45.0493323 37.1800643 20.7030857 21.6214126 30.3998735 40.9473773 40.2300611 43.393523 47.5393859 60.0794952 54.9538414 67.2601061 57.1800643 62.9231104 70.3911083 92.0441426 92.0740343
20.2572347 0 20.2572347 29.658985 46.1127192 37.7588424 20.7250322 21.6401897 30.5305091 41.5253923 40.8241618 43.9722562 48.1717181 61.2309914 55.574865 68.1793151 57.7588424 63.9832315 71.4831554 93.4181436 93.1408232
20.8360129 0 20.8360129 30.3265166 47.181522 38.3376206 20.7463676 21.6581543 30.6569293 42.1034748 41.4179946 44.5509743 48.8014866 62.3828081 56.1864898 69.0763398 58.3376206 65.0538821 72.5781919 94.8149582 94.2109646
21.414791 0 21.414791 30.9890086 48.2553644 38.9163987 20.7671222 21.6753601 30.7793312 42.6816163 42.0115423 45.1296774 49.4288478 63.5349228 56.7901897 69.952448 58.9163987 66.1335777 73.6760375 96.2332808 95.2842872
21.9935691 0 21.9935691 31.6468135 49.3338939 39.4951768 20.7873258 21.6918564 30.8978939 43.2598114 42.6047974 45.7083698 50.0539486 64.6873108 57.387209 70.8089132 59.4951768 67.2210665 74.7765252 97.6718114 96.3606313
22.5723473 0 22.5723473 32.3002562 50.4167856 40.073955 20.8070043 21.7076881 31.0127867 43.8380557 43.1977513 46.2870525 50.6769282 65.8399528 57.9785927 71.6469914 60.073955 68.3152883 75.8794984 99.1292626 97.4398467
23.1511254 0 23.1511254 32.949642 51.5037342 40.6527331 20.8261811 21.7228939 31.1241672 44.4163419 43.7904041 46.8657278 51.297911 66.9928307 58.5652176 72.4679057 60.6527331 69.4153548 76.9848124 100.604387 98.521791
23.7299035 0 23.7299035 33.5952497 52.5944609 41.2315113 20.8448789 21.7375145 31.2321844 44.9946677 44.3827546 47.4443955 51.9170182 68.1459282 59.1478199 73.2728371 61.2315113 70.5205123 78.0923312 102.095981 99.6063333
24.3086817 0 24.3086817 34.2373387 53.6887063 41.8102894 20.863119 21.7515809 31.3369764 45.5730289 44.9748039 48.0230589 52.5343591 69.2992304 59.7270193 74.06291 61.8102894 71.6301254 79.2019293 103.602895 100.693347
