delta/B 5T2g 5Eg 3T1g 3T2g 3Eg 3T1g 3T1g 3T2g 3T1g 3A2g 3T2g 3Eg 3T1g 3A1g 1A1g 1T1g 1T2g 1A2g 1T2g 1Eg 3T2g 3Eg 1A1g 1T1g 1Eg 1T2g 1A1g 1T2g 1Eg 1A2g 1T2g 1T1g 3A2g 3T1g 3T2g 3T1g 1T2g 1Eg 1T1g 1A1g 1Eg 1T2g 1A1g
 0 0 0 21.6814815 21.6814815 21.6814815 21.6814815 24.6454472 24.9254324 24.9254324 24.9254324 26.6814815 26.6814815 26.6814815 26.6814815 32.5222222 32.5222222 32.5222222 32.5222222 32.5222222 32.5222222 33.6814815 33.6814815 34.7408676 34.7408676 34.7408676 34.7408676 40.1881833 41.9978509 41.9978509 47.5222222 47.5222222 47.5222222 55.6986417 55.6986417 55.6986417 55.9786269 63.564688 63.564688 63.564688 63.564688 84.3077046 84.3077046 110.219224
 0.555555556 0 0.555555556 21.5762972 21.7325009 22.1177028 22.1293435 24.6843657 25.1760222 25.2471574 25.3755306 26.6181074 26.9518296 27.1338287 27.237037 32.1730824 32.3468889 32.5227333 32.9633 33.0652935 33.0833481 33.7870019 34.0860231 34.5837602 34.7932083 34.9308315 35.4181333 40.4537907 41.9736065 42.5904231 47.6367 47.7345944 47.8032 55.8040991 55.8843472 55.9104426 56.3039194 63.4756296 63.8445296 63.9622593 64.1331778 84.3508676 84.6544537 110.44693
 1.11111111 0 1.11111111 21.3996 21.7414741 22.5358056 22.4361815 24.7327833 25.3767787 25.6311213 25.8224731 26.6279398 27.2257963 27.7120259 27.7925926 31.5810843 32.0529565 32.5059991 33.3973435 33.5666824 33.5271287 33.8931231 34.5050648 34.5781352 34.9495111 35.2197509 36.1099343 40.7930398 41.9518463 43.1820657 47.758212 47.9662861 48.0907 55.912712 55.9915519 56.1403139 56.722663 63.399612 64.1425593 64.3679426 64.7083185 84.395162 85.0107509 110.685718
 1.66666667 0 1.66666667 21.1557648 21.713712 22.9332194 22.612475 24.8796787 25.484588 25.996488 26.2661528 26.7476602 27.5073269 28.3927852 28.3481481 30.8420287 31.6848926 32.4785917 33.8238815 34.0308417 33.83185 34.0017685 34.9372315 34.6461833 35.1656093 35.6302759 36.7986796 41.1896519 41.9359861 43.7706944 47.8872296 48.220488 48.3849213 56.024588 56.0912028 56.3874565 57.1641972 63.3366343 64.4598741 64.7812435 65.2882241 84.4406389 85.3765556 110.935764
 2.22222222 0 2.22222222 20.8538407 21.6532685 23.3074352 22.699313 25.0788278 25.4962454 26.3718241 26.7064593 26.9751463 27.80025 29.1432648 28.9037037 30.0193213 31.2726287 32.4433722 34.2424287 34.4599407 34.0225083 34.1150259 35.3812028 34.7385139 35.4118343 36.1382343 37.4718694 41.6310602 41.9301602 44.3543444 48.024238 48.5006046 48.6860639 56.139837 56.1951306 56.6510546 57.6170574 63.2866639 64.7975611 65.2016954 65.871263 84.4873509 85.7518333 111.197249
 2.77777778 0 2.77777778 20.5055102 21.5630481 23.6562398 22.7384917 25.2806398 25.4469269 26.7791352 27.1432796 27.2708787 28.108013 29.9371167 29.4592593 29.145362 30.832987 32.4016315 34.6524861 34.8540861 34.1425185 34.23515 35.8357472 34.8337361 35.6716093 36.70095 38.1197444 42.1074926 41.9393574 44.931162 48.1697361 48.8100917 48.9943213 56.2585722 56.3065778 56.9302935 58.0784546 63.2496491 65.1566787 65.6288611 66.4560148 84.5353574 86.1365528 111.470358
 3.33333333 0 3.33333333 20.1219037 21.4451111 23.9779704 22.755688 25.4609444 25.3687444 27.2230037 27.5764981 27.5990843 28.4334139 30.7565824 30.0148148 28.2370648 30.3752759 32.3539 35.0535454 35.2117963 34.2227241 34.3645546 36.2997269 34.9236435 35.9358602 37.2882546 38.7340796 42.6113 41.9695435 45.4994019 48.3242324 49.1522426 49.3098667 56.3809093 56.4271093 57.2243574 58.5473611 63.2255315 65.5382306 66.0623315 67.0412333 84.5847213 86.5306852 111.755277
 3.88888889 0 3.88888889 19.7119639 21.3009981 24.271737 22.7634056 25.6156296 25.2796306 27.6971667 28.0059972 27.9385407 28.7783713 31.5899602 30.5703704 27.3040426 29.9048676 32.3002981 35.4450972 35.5305491 34.2799731 34.505788 36.7721148 35.0055426 36.1994491 37.8839241 39.3074991 43.1364787 42.0277213 46.0574491 48.4882361 49.5299102 49.6328491 56.5069657 56.5578389 57.5324491 59.0232935 63.214263 65.9431417 66.5017222 67.6258176 84.635512 86.9342037 112.052193
 4.44444444 0 4.44444444 19.2822907 21.1319907 24.5375426 22.7672065 25.7484426 25.1886852 28.1929694 28.4316565 28.2770213 29.1438056 32.4292741 31.1259259 26.3522315 29.4250407 32.2406917 35.8266352 35.8073861 34.3231472 34.6614787 37.2519852 35.0790083 36.4593398 38.4796463 39.8331343 43.6783102 42.1217824 46.6038352 48.6622537 49.945213 49.9633861 56.636862 56.6997509 57.853788 59.5059907 63.2158194 66.3722343 66.9466769 68.2087861 84.6878037 87.3470852 112.361294
 5 0 5 18.8375926 20.939288 24.7762639 22.7694935 25.8643111 25.1005824 28.7032852 28.8533546 28.7032852 29.5296657 33.2687963 31.6814815 25.3855602 28.9379074 32.1747759 36.1976667 36.039587 34.3571333 34.8342509 37.7385148 35.1445222 36.7136731 39.0710583 40.3048278 44.2330787 42.2598037 47.1372611 48.8467778 50.3992537 50.3015602 56.7707194 56.8538074 58.1876167 59.9953056 63.2302231 66.8262 67.3968602 68.789263 84.7416806 87.7693065 112.682762
